"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
33305,"JMeter","Main","issues","NEW","---","Visual diff and merge functionality for JMeter scripts","2013-08-25 12:47:17"
53159,"JMeter","Main","issues","NEW","---","Enable parallel execution of Sampler for Same user to simulate Ajax Requests","2014-12-08 23:54:58"
53628,"JMeter","Main","issues","NEW","---","Feature Request  -Jmeter does not support Soap Request with attachment.","2012-11-01 10:21:34"
53833,"JMeter","Main","issues","NEW","---","Enable using the same ConnectionFactory for Multiple threads while posting JMS messages","2014-01-22 08:49:59"
54442,"JMeter","Main","issues","NEW","---","Support Websocket protocol","2014-04-22 16:43:43"
55597,"JMeter","Main","issues","NEW","---","View Results Tree should include a search feature in recorded samplers","2014-03-05 01:52:55"
33878,"JMeter","Main","issues","NEW","---","Function caching as option","2011-12-28 21:20:13"
34321,"JMeter","Main","issues","NEW","---","password encryption for HTTP Authorization Manager","2014-11-20 16:54:27"
35593,"JMeter","Main","issues","NEW","---","Commons chain sampler","2006-06-02 17:18:37"
35670,"JMeter","Main","issues","NEW","---","Default parameters not displayed","2005-07-09 04:45:41"
35915,"JMeter","Main","issues","NEW","---","MonitorResults does not write results n CSV format","2005-07-28 08:07:25"
36931,"JMeter","Main","issues","NEW","---","Printable Version of the Users Manual","2012-01-22 16:10:37"
39642,"JMeter","Main","issues","NEW","---","Need a sampler forJMX mbean-servers.","2014-07-30 08:21:56"
40181,"JMeter","Main","issues","NEW","---","Add a new Session Bean protocol extension","2012-08-25 19:40:40"
41110,"JMeter","Main","issues","NEW","---","Jmeter does not record calculated values, such as throughput in the output CSV file","2009-04-29 16:41:33"
41800,"JMeter","Main","issues","NEW","---","Parser for parsing the CSV results using JMeter Ant Task.","2007-09-08 11:38:39"
41921,"JMeter","Main","issues","NEW","---","JDBC sampler : Add hashing of Data to avoid storing all output into memory when result is arbitrarily large","2012-10-24 01:48:58"
42837,"JMeter","Main","issues","NEW","---","Provide link between .jmx and .jtl files","2007-07-09 00:20:14"
43284,"JMeter","Main","issues","NEW","---","Centralise use of "".jmx"" and "".jtl"" etc","2012-08-25 19:19:02"
43380,"JMeter","Main","issues","NEW","---","override ""download embedded ressources"" for all httpsamplers per property","2007-09-13 04:41:41"
43484,"JMeter","Main","issues","NEW","---","Remote Statistical mode needs to collect min/max separately","2008-06-09 02:42:10"
43549,"JMeter","Main","issues","NEW","---","Enhancing FTP Request with chmod or other unix commands","2007-10-04 07:11:54"
43730,"JMeter","Main","issues","NEW","---","User-settable JVM DNS cache expiry","2014-08-01 12:06:40"
44420,"JMeter","Main","issues","NEW","---","AccessLog Sampler - process session ids?","2008-02-14 08:58:00"
44802,"JMeter","Main","issues","NEW","---","MonitorHealthVisualizer.java enhancement","2009-01-29 10:54:29"
45168,"JMeter","Main","issues","NEW","---","Listeners need to take idleTime into account","2008-06-09 02:51:47"
45169,"JMeter","Main","issues","NEW","---","SampleResult idleTime not always taken into account","2013-11-23 15:54:24"
45258,"JMeter","Main","issues","NEW","---","Child sample handling by Assertions and Post-Processors","2012-05-14 21:39:22"
45267,"JMeter","Main","issues","NEW","---","Feature request - loading property files from GUI","2008-06-24 06:42:06"
45268,"JMeter","Main","issues","NEW","---","Add possibility to choose a set of defaults for samplers","2008-06-24 06:30:51"
