"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
575,"Ant","Optional Tasks","notifications","CLOSED","FIXED","Ant1.2's optional tasks does not compile against JUnit 3.5","2008-02-22 12:18:59"
46631,"Ant","Core tasks","notifications","RESOLVED","INVALID","java.lang.NullPointerException with pathconvert  starting at svn rev. 278337","2009-05-07 01:38:32"
50678,"Ant","Build Process","notifications","RESOLVED","WONTFIX","Not reading xercesImpl.jar and xml-apis.jar in Apache ANT 1.8.2","2013-03-17 23:24:46"
16162,"Ant","Other","notifications","RESOLVED","DUPLICATE","RPMs dont build on RedHat 8.0","2010-11-04 09:15:34"
34773,"Ant","Build Process","notifications","RESOLVED","INVALID","[wsejbdeploy] java.lang.NoClassDefFoundError: com/ibm/etools/ejbdeploy/EJBDeploy","2008-02-22 12:18:59"
7552,"Ant","Core","notifications","RESOLVED","FIXED","Invalid task cache in targets","2004-11-16 19:05:38"
40311,"Ant","Core","notifications","RESOLVED","INVALID","Ant doesn","2008-02-22 12:18:59"
33428,"Ant","Optional Tasks","notifications","RESOLVED","INVALID","Build fails with ""Could not create task or type of type: junit.""","2008-02-22 12:18:59"
50652,"Ant","Build Process","notifications","RESOLVED","DUPLICATE","SAX2 driver class org.apache.xerces.parsers.SAXParser not found when using Apache ANT 1.8.2","2011-01-26 10:38:24"
48985,"Ant","Core tasks","notifications","RESOLVED","WORKSFORME","Special characters like $ and § are not supported in password attribute of sshexec task","2013-03-17 23:47:34"
911,"Ant","Core tasks","notifications","RESOLVED","FIXED","<exec> task works locally, but not when called remotely","2008-02-22 12:18:59"
27162,"Ant","Core tasks","notifications","CLOSED","FIXED","SQL task doesn't work with Informix IDS 9.2","2008-02-22 12:18:59"
45858,"Ant","Other","notifications","RESOLVED","WONTFIX","AntXtras foreach tasks fail with undefined loop variables","2008-11-11 17:48:24"
23833,"Ant","Optional Tasks","notifications","RESOLVED","FIXED","FTP scanning wrong when remotedir is not absolute","2004-11-16 19:05:41"
28067,"Ant","Core","notifications","RESOLVED","FIXED","found and fixed a bug - ntvdm problem while running ant 1.5 using JDK 1.4.2_0x on Windows 2003 Server","2008-02-22 12:18:59"
1215,"Ant","Core","notifications","RESOLVED","INVALID","Ant Assumes Apache User ID With No Permissions","2008-02-22 12:18:59"
45386,"Ant","Core tasks","notifications","RESOLVED","WORKSFORME","Exec Task Hangs on Linux","2008-11-17 08:07:23"
34774,"Ant","Build Process","notifications","RESOLVED","INVALID","[ejbdeploy] Class ""com.ibm.etools.ejbdeploy.plugin.EJBDeployPlugin"" must not be on the classpath","2008-02-22 12:18:59"
636,"Ant","Build Process","notifications","CLOSED","WORKSFORME","Cannot Build Ant from Source","2008-02-22 12:18:59"
41237,"Ant","Core","notifications","RESOLVED","WONTFIX","ANT_HOME is incorrectly...","2012-05-28 11:11:47"
1643,"Ant","Core tasks","notifications","RESOLVED","WORKSFORME","javac uses incorrect classpath","2008-02-22 12:18:59"
698,"Ant","Build Process","notifications","RESOLVED","FIXED","Permission problems when building Ant","2008-02-22 12:18:59"
50270,"Ant","Optional Tasks","notifications","RESOLVED","FIXED","No way to control whether SSHExec prints output to stdout","2013-02-18 16:18:25"
18985,"Ant","Build Process","notifications","RESOLVED","INVALID","PDFGraphicsConfiguration  error on build","2008-02-22 12:18:59"
8689,"Ant","Core","notifications","RESOLVED","FIXED","AntClassLoader still leaks memory.","2004-11-16 19:05:39"
41174,"Ant","Build Process","notifications","RESOLVED","INVALID","Build error on Ant 1.5.3 in WSAD 5.1.1ie","2008-02-22 12:18:59"
44145,"Ant","Other","notifications","RESOLVED","INVALID","Getting error when running wsdlvalidate task in ANT","2008-02-29 08:56:41"
33697,"Ant","Optional Tasks","notifications","RESOLVED","INVALID","exec gives errror on trying to run on solaris","2008-02-22 12:18:59"
43888,"Ant","Build Process","notifications","RESOLVED","FIXED","Could not create a directory","2008-02-22 12:18:59"
